cluster,kw_count,total_volume,avg_kd,avg_score,do_count,ai_ov_share,top_keyword
server-detail,824,169010,19.1,3.36,321,34%,next js mcp server
other,168,33440,17.6,3.21,39,41%,mcp-remote
claude-mcp,40,11410,21.3,3.25,13,70%,posthog mcp claude code
protocol,11,6960,20.4,3.24,4,45%,mcp inspector
setup-tutorial,38,6680,23.3,3.07,8,89%,claude code mcp server configuration
comparison,25,5780,21.2,3.74,19,100%,rag vs mcp
cursor-mcp,14,3230,19.2,3.2,3,50%,cursor mcp spawn npx enoent
security,8,1250,24.4,3.19,2,75%,mcp security architecture
mcp-tools,9,1250,17.7,3.11,1,55%,mcp-sequentialthinking-tools
mcp-client,6,1110,22.3,2.75,0,83%,mcp client ui
dev-sdk,4,680,25.8,2.95,0,50%,appwrite-docs-mcp github
what-is-mcp,2,230,28.0,3.1,0,100%,mcp meaning medical
mcp-agent,1,110,26.0,3.1,0,0%,workato delivers industry's first enterprise mcp platform for ai agents
directory-list,1,90,25.0,3.1,0,0%,mcp affiliation list
